Email Campaign Report
"Title:","General Meeting Notice Sem 1 2024"
"Subject Line:","SUAnime General Meeting Notice"
"Delivery Date/Time:","Thu, 14 Mar 2024 11:33 pm"

"Overall Stats"
"Total Recipients:","1,631"
"Successful Deliveries:","1,621"
"Bounces:","10 (0.6%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","791 (48.8%)"
"Total Opens:","1,298"
"Last Open Date:","16/4/24 1:11PM"
"Recipients Who Clicked:","12 (0.7%)"
"Total Clicks:","18"
"Last Click Date:","17/3/24 3:49PM"
"Total Unsubs:","4"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://docs.google.com/document/d/14nJERrAg7dLJHLFBzOmTHAo8zBfWZ705/edit?usp=sharing&ouid=106147044689559654090&rtpof=true&sd=true","13","9"
"https://www.facebook.com/events/289188897358633/?ref=newsfeed","5","4"
