Email Campaign Report
"Title:","General Meeting Notice Sem 1 (part 2) 2024"
"Subject Line:","SUAnime General Meeting Notice"
"Delivery Date/Time:","Wed, 10 Apr 2024 1:13 pm"

"Overall Stats"
"Total Recipients:","1,647"
"Successful Deliveries:","1,644"
"Bounces:","3 (0.2%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","795 (48.4%)"
"Total Opens:","1,192"
"Last Open Date:","17/4/24 2:09PM"
"Recipients Who Clicked:","5 (0.3%)"
"Total Clicks:","8"
"Last Click Date:","10/4/24 10:32PM"
"Total Unsubs:","8"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://docs.google.com/document/d/1EKNTlE4_jxsJNgQtlGCiWCQ8YNiRCU3q/edit?usp=sharing&ouid=106147044689559654090&rtpof=true&sd=true","4","4"
"https://docs.google.com/forms/d/e/1FAIpQLSeMdy-wT5fCaLfnumY-mgopH31B4m8kvpzcwxreXjuWpBitFg/viewform","4","3"
"https://docs.google.com/document/d/1hO34gLkOmFO0UQY2OzTAooQyhR9fdgDoLw_ZyZy3sq8/edit","0","0"
"https://docs.google.com/document/d/1tQoquR00rJ9OkmgcUrYKI5w_TFjIVFoP/edit?usp=sharing&ouid=106147044689559654090&rtpof=true&sd=true","0","0"
"https://forms.gle/2pfDQzJh9HDywkKH7","0","0"
