Email Campaign Report
"Title:","Sem1 Midsem 2024"
"Subject Line:","SUAnime Midsem 2024 Newsletter"
"Delivery Date/Time:","Mon, 01 Apr 2024 3:57 pm"

"Overall Stats"
"Total Recipients:","1,658"
"Successful Deliveries:","1,653"
"Bounces:","5 (0.3%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","742 (44.9%)"
"Total Opens:","1,180"
"Last Open Date:","16/4/24 3:06PM"
"Recipients Who Clicked:","31 (1.9%)"
"Total Clicks:","51"
"Last Click Date:","7/4/24 10:58AM"
"Total Unsubs:","8"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://www.facebook.com/media/set?vanity=usydanime&set=a.1047042156937148","20","12"
"https://docs.google.com/forms/d/e/1FAIpQLSfcbnk0LaIASLoq7nZPijeefy2-XOgRTRLtUozqiNbbWivgOw/viewform","18","11"
"https://www.facebook.com/events/793973012122489?ref=newsfeed","4","4"
"https://www.luminsworkshop.com/?gad_source=1&gclid=Cj0KCQjw8J6wBhDXARIsAPo7QA-Lpz-4aTXhIrBVQN4r6EjaAZr_eklsUOHxa03nH3PZShmZ0IZp0qUaAhzzEALw_wcB","4","1"
"https://app.cosgear.co/?omnisendContactID=5f4cd31bbac16e176345d8bd&utm_campaign=campaign%3A+Cosplay+Planner+%286604c903e4c1cd6532710880%29&utm_medium=email&utm_source=omnisend","3","2"
"https://www.facebook.com/usydanime/","1","1"
"https://www.instagram.com/sueanniemei/?hl=en","1","1"
