Email Campaign Report
"Title:","Sem1 Week 8 2024"
"Subject Line:","SUAnime Week 8 2024 Newsletter"
"Delivery Date/Time:","Sun, 14 Apr 2024 6:30 pm"

"Overall Stats"
"Total Recipients:","1,638"
"Successful Deliveries:","1,634"
"Bounces:","4 (0.2%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","678 (41.5%)"
"Total Opens:","999"
"Last Open Date:","17/4/24 11:58AM"
"Recipients Who Clicked:","22 (1.3%)"
"Total Clicks:","29"
"Last Click Date:","16/4/24 9:37PM"
"Total Unsubs:","2"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://docs.google.com/forms/d/e/1FAIpQLSfDgqo7RYQqklIe-lHIjYOs0Yf_lBWaXrdl0UkKZZ1nlCyksg/viewform","25","19"
"https://www.facebook.com/events/1791951707976401/?ref=newsfeed","3","3"
"https://www.instagram.com/sueanniemei/?hl=en","1","1"
"https://www.facebook.com/usydanime/","0","0"
