Email Campaign Report
"Title:","Sem1 Wk1 2024"
"Subject Line:","SUAnime Week 1 2024 Newsletter"
"Delivery Date/Time:","Mon, 19 Feb 2024 9:42 am"

"Overall Stats"
"Total Recipients:","1,913"
"Successful Deliveries:","1,899"
"Bounces:","14 (0.7%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","872 (45.9%)"
"Total Opens:","1,469"
"Last Open Date:","16/4/24 2:06PM"
"Recipients Who Clicked:","65 (3.4%)"
"Total Clicks:","157"
"Last Click Date:","28/2/24 1:22PM"
"Total Unsubs:","13"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"https://linktr.ee/suanime","69","38"
"https://www.facebook.com/media/set/?vanity=usydanime&set=a.1018302506477780","22","17"
"https://www.facebook.com/events/768587058098122?ref=newsfeed","19","7"
"https://docs.google.com/document/d/1reTXx8vRldGIlRYMBgz8IdcSkXmpUGxaUpJRLEAjZ74/edit?fbclid=IwAR0vezzHxXvPtUrWnEqJZMufLKjVmwwVcJyTU0wWHQm9cxmGhqeqSIzHf_E#heading=h.mbjsiz6n6jlo","18","14"
"https://manningbar.oztix.com.au/outlet/event/7823b9f9-06a8-45ad-b2c5-decf1390069b?Event=185342","14","7"
"https://docs.google.com/forms/d/e/1FAIpQLSe42Ai62E2KHicALUCYMOvjIPFx-ddN1txmfvz28RPJyrOYLQ/viewform","12","6"
"https://www.instagram.com/sueanniemei/?hl=en","2","1"
"https://www.facebook.com/usydanime/","1","1"
