,Session,MoA,Location,Outline Link
0,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WRIT3002/2024-S1C-ND-CC
1,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WRIT2002/2024-S1C-ND-CC
2,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WRIT2000/2024-S2C-ND-CC
3,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/WRIT1002/2024-S1C-OL-CC
4,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/WRIT1001/2024-S2C-ND-CC
5,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3026/2024-S2C-ND-CC
6,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/CAEL3022/2024-S1C-OL-CC
7,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3022/2024-S1C-ND-CC
8,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3021/2024-S2C-ND-CC
9,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3019/2024-S2C-ND-CC
10,Semester 2 2024,Online,"Camperdown/Darlington, Sydney",/units/CAEL3018/2024-S2C-OL-CC
11,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3018/2024-S2C-ND-CC
12,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3017/2024-S2C-ND-CC
13,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3016/2024-S2C-ND-CC
14,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3015/2024-S2C-ND-CC
15,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3014/2024-S2C-ND-CC
16,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL3014/2024-S1C-ND-CC
17,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2104/2024-S1C-ND-CC
18,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2102/2024-S1C-ND-CC
19,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2101/2024-S2C-ND-CC
20,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2098/2024-S2C-ND-CC
21,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2093/2024-S2C-ND-CC
22,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2092/2024-S1C-ND-CC
23,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2085/2024-S2C-ND-CC
24,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2085/2024-S1C-ND-CC
25,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2080/2024-S2C-ND-CC
26,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2076/2024-S1C-ND-CC
27,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2072/2024-S2C-ND-CC
28,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2072/2024-S1C-ND-CC
29,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2069/2024-S2C-ND-CC
30,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2055/2024-S2C-ND-CC
31,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2054/2024-S1C-ND-CC
32,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/CAEL2053/2024-S2CIJL-BM-CC
33,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2053/2024-S1C-ND-CC
34,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2049/2024-S2C-ND-CC
35,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2049/2024-S1C-ND-CC
36,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2048/2024-S1C-ND-CC
37,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2046/2024-S1C-ND-CC
38,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/CAEL2042/2024-S2CIJL-BM-CC
39,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2042/2024-S1C-ND-CC
40,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2041/2024-S2C-ND-CC
41,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2039/2024-S1C-ND-CC
42,Semester 2 2024,Online,"Camperdown/Darlington, Sydney",/units/CAVA1002/2024-S2C-OL-CC
43,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAVA1002/2024-S2C-ND-CC
44,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/CAVA1002/2024-S1C-OL-CC
45,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAVA1002/2024-S1C-ND-CC
46,Semester 2 2024,Online,"Camperdown/Darlington, Sydney",/units/CAVA1001/2024-S2C-OL-CC
47,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAVA1001/2024-S2C-ND-CC
48,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/CAVA1001/2024-S1C-OL-CC
49,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAVA1001/2024-S1C-ND-CC
50,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CIVL2700/2024-S1C-ND-CC
51,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BADP2005/2024-S2C-ND-CC
52,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DAAE1001/2024-S2C-ND-CC
53,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DAAE1002/2024-S1C-ND-CC
54,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM3625/2024-S2C-ND-CC
55,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM3621/2024-S1C-ND-CC
56,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM3607/2024-S2C-ND-CC
57,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM3961/2024-S1C-ND-CC
58,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM2609/2024-S2C-ND-CC
59,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM2603/2024-S1C-ND-CC
60,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM2601/2024-S1C-ND-CC
61,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM1603/2024-S2C-ND-CC
62,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM1602/2024-S2C-ND-CC
63,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/PRFM1601/2024-S1C-ND-CC
64,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FILM3006/2024-S1C-ND-CC
65,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CIVL3310/2024-S1C-ND-CC
66,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SUCH3009/2024-S1C-ND-CC
67,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",Outline unavailable
68,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/DAAE2012/2024-S2C-ND-CC
69,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CHNG2805/2024-S2C-ND-CC
70,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CIVL5320/2024-S2C-ND-CC
71,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CAEL2103/2024-S1C-ND-CC
72,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SUST2001/2024-S2C-ND-CC
73,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SUST1001/2024-S1C-ND-CC
74,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST3611/2024-S1C-ND-CC
75,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST3607/2024-S1C-ND-CC
76,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST2640/2024-S2C-ND-CC
77,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST2641/2024-S1C-ND-CC
78,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST1005/2024-S2C-ND-CC
79,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/RLST1002/2024-S1C-ND-CC
80,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN3002/2024-S2C-ND-CC
81,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN3001/2024-S1C-ND-CC
82,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN2616/2024-S1C-ND-CC
83,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN2612/2024-S2C-ND-CC
84,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN2611/2024-S1C-ND-CC
85,Intensive December 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
86,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN1622/2024-S2C-ND-CC
87,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/SPAN1621/2024-S2CIJL-BM-CC
88,Intensive December 2024,Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
89,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SPAN1621/2024-S1C-ND-CC
90,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SOIL3888/2024-S2C-ND-CC
91,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/ENVX3003/2024-S2C-ND-CC
92,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/SOIL2005/2024-S1C-ND-CC
