,Unit,Session,Type,Description,Weight,Due,Length,School
0,BUSS1030,2024-S1C-ND-CC,,Final Exam,50%,Formal exam period,2 hours,Accounting
1,BUSS1030,2024-S1C-ND-CC,Small continuous assessment,Fortnightly Quiz,20%,Multiple weeks,30 minutes,Accounting
2,BUSS1030,2024-S1C-ND-CC,Participation,Tutorial Participation and Engagement,5%,Ongoing,All semester,Accounting
3,BUSS1030,2024-S1C-ND-CC,Small test,Online Quiz,5%,Week 03,30 minutes,Accounting
4,BUSS1030,2024-S1C-ND-CC,,Mid-semester exam,20%,3 Apr 2024,1 hour,Accounting
0,ACCT1006,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT1006,2024-S1C-ND-CC,Small continuous assessment,Tutorial work and/or assignment,20%,Ongoing,n/a,Accounting
2,ACCT1006,2024-S1C-ND-CC,Participation,Participation,5%,Ongoing,na,Accounting
3,ACCT1006,2024-S1C-ND-CC,Small test,Quiz,5%,Week 03,To be advised.,Accounting
4,ACCT1006,2024-S1C-ND-CC,,In-semester test,20%,3 Apr 2024,1.5 hours,Accounting
0,ACCT2011,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT2011,2024-S1C-ND-CC,Small continuous assessment,Tutorial work,5%,Ongoing,n/a,Accounting
2,ACCT2011,2024-S1C-ND-CC,Small continuous assessment,Online Quizzes,5%,Ongoing,n/a,Accounting
3,ACCT2011,2024-S1C-ND-CC,,Mid-semester exam,20%,4 Apr 2024,1 hour,Accounting
4,ACCT2011,2024-S1C-ND-CC,Assignment,Group assignment,20%,9 Apr 2024,"1,500 words",Accounting
0,ACCT2019,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT2019,2024-S1C-ND-CC,Online task,Online MCQ,10%,Multiple weeks,N/A,Accounting
2,ACCT2019,2024-S1C-ND-CC,Assignment,Group & SAP assignment,30%,3 May 2024,"Part A, B (group, individual) 5000 words",Accounting
3,ACCT2019,2024-S1C-ND-CC,Small continuous assessment,In-class assessment,10%,Weekly,n/a,Accounting
0,ACCT3011,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT3011,2024-S1C-ND-CC,,Mid-session exam,20%,9 Apr 2024,1 hour,Accounting
2,ACCT3011,2024-S1C-ND-CC,Assignment,Group assignment,20%,6 May 2024,1800 words,Accounting
3,ACCT3011,2024-S1C-ND-CC,Presentation,Group presentation,5%,Weekly,10 minutes,Accounting
4,ACCT3011,2024-S1C-ND-CC,Participation,Tutorial participation,5%,Weekly,Weekly in tutorial,Accounting
0,ACCT3600,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT3600,2024-S1C-ND-CC,Small continuous assessment,"Participation, Engagement with Learning Materials",4%,Ongoing,Continuous through week 1 to week 13,Accounting
2,ACCT3600,2024-S1C-ND-CC,Small test,Quiz One,7%,Week 04,15 minutes,Accounting
